name,product,ISIC rev.4 ecoinvent,CPC
market for ytterbium oxide,ytterbium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for yttrium oxide,yttrium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for zinc,zinc,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for zinc concentrate,zinc concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for zircon,zircon,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market group for diesel,diesel,1920:Manufacture of refined petroleum products,33360: Gas oil
"market group for diesel, low-sulfur","diesel, low-sulfur",1920:Manufacture of refined petroleum products,33360: Gas oil
"market group for electricity, high voltage","electricity, high voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, high voltage, 20-year period","electricity, high voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, high voltage, 40-year period","electricity, high voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, high voltage, 60-year period","electricity, high voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, low voltage","electricity, low voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, low voltage, 20-year period","electricity, low voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, low voltage, 40-year period","electricity, low voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, low voltage, 60-year period","electricity, low voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, medium voltage","electricity, medium voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, medium voltage, 20-year period","electricity, medium voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, medium voltage, 40-year period","electricity, medium voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"market group for electricity, medium voltage, 60-year period","electricity, medium voltage","3510:Electric power generation, transmission and distribution",17100: Electrical energy
"medium duty truck, battery electric, 18t gross weight, long haul",medium duty truck,2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"medium duty truck, battery electric, 26t gross weight, long haul",medium duty truck,2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, compressed gas, 18t gross weight, EURO-III, long haul","Medium duty truck, EURO-III",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, compressed gas, 18t gross weight, EURO-IV, long haul","Medium duty truck, EURO-IV",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, compressed gas, 18t gross weight, EURO-V, long haul","Medium duty truck, EURO-V",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, compressed gas, 18t gross weight, EURO-VI, long haul","Medium duty truck, EURO-VI",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, compressed gas, 26t gross weight, EURO-III, long haul","Medium duty truck, EURO-III",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, compressed gas, 26t gross weight, EURO-IV, long haul","Medium duty truck, EURO-IV",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, compressed gas, 26t gross weight, EURO-V, long haul","Medium duty truck, EURO-V",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, compressed gas, 26t gross weight, EURO-VI, long haul","Medium duty truck, EURO-VI",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel hybrid, 18t gross weight, EURO-VI, long haul","Medium duty truck, EURO-VI",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel hybrid, 26t gross weight, EURO-VI, long haul","Medium duty truck, EURO-VI",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel, 18t gross weight, EURO-III, long haul","Medium duty truck, EURO-III",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel, 18t gross weight, EURO-IV, long haul","Medium duty truck, EURO-IV",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel, 18t gross weight, EURO-V, long haul","Medium duty truck, EURO-V",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel, 18t gross weight, EURO-VI, long haul","Medium duty truck, EURO-VI",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel, 26t gross weight, EURO-III, long haul","Medium duty truck, EURO-III",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel, 26t gross weight, EURO-IV, long haul","Medium duty truck, EURO-IV",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel, 26t gross weight, EURO-V, long haul","Medium duty truck, EURO-V",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, diesel, 26t gross weight, EURO-VI, long haul","Medium duty truck, EURO-VI",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"medium duty truck, fuel cell electric, 18t gross weight, long haul",medium duty truck,2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"medium duty truck, fuel cell electric, 26t gross weight, long haul",medium duty truck,2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
"Medium duty truck, plugin diesel hybrid, 18t gross weight, EURO-VI, long haul","Medium duty truck, EURO-VI",2910:Manufacture of motor vehicles,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…]
